penalty,rank,params,cv_mean_test_score,cv_std_test_score,cv_mean_train_score,cv_std_train_score,mean_fit_time,std_fit_time,split0_test_score,split1_test_score,split2_test_score
no_penalty,1,{},0.5592337642344014,0.003529278881574343,0,0,201.24923491477966,0,0.5641162968630451,0.5576893649579189,0.5558956308822404
l1_lasso,1,{'clf__C': 1},0.5613761451221889,0.002961939773704298,0.6028335146126316,0.002261005684070744,412.2406910260518,2.2870814712153225,0.5654934965570008,0.5599846977811783,0.5586502410283878
l1_lasso,2,{'clf__C': 10},0.5596928425078442,0.00357595510962967,0.6041087365908616,0.0021290455962854307,415.24471561113995,2.3180290974018165,0.5646518745218057,0.5580719204284621,0.556354732573265
l1_lasso,3,{'clf__C': 0.1},0.5559182347030647,0.0015457219854024568,0.5822387681597742,0.001342081696743436,94.80174136161804,3.4834627862772116,0.5577658760520275,0.5560061208875287,0.553982707169638
l2_ridge,1,{'clf__C': 1},0.5614526581677627,0.0028682238665568914,0.6033308528233093,0.002341194374637929,195.20154802004495,1.6207297204042277,0.5654169854628921,0.5602142310635042,0.5587267579768919
l2_ridge,2,{'clf__C': 10},0.559590823812769,0.003553495023352535,0.6040449753943807,0.002164707329918305,196.86664779980978,0.24456241020294248,0.5644988523335883,0.5580719204284621,0.5562016986762568
l2_ridge,3,{'clf__C': 0.1},0.5592848399317542,0.0029481024795492347,0.5968017295251987,0.0015558843436102642,65.09651557604472,2.6558070953634667,0.5631981637337414,0.5560826319816373,0.5585737240798837
elasticnet,1,"{'clf__C': 1, 'clf__l1_ratio': 0.5}",0.5611721096835037,0.0029974048260804323,0.6030758046224518,0.0026015389949521654,444.63912574450177,1.321213983120299,0.5653404743687834,0.5597551644988523,0.5584206901828755
elasticnet,2,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5}",0.5602284533415123,0.002046480716426778,0.5904639210387791,0.001757467722688082,104.8350903193156,0.9446019169751411,0.5626625860749809,0.5603672532517215,0.5576555206978345
elasticnet,3,"{'clf__C': 10, 'clf__l1_ratio': 0.5}",0.5596163294622705,0.003575956931298878,0.6040959847418436,0.002210383354554377,438.88127366701764,0.3739322139569526,0.564575363427697,0.5579954093343534,0.5562782156247609
