rank,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,split0_test_score,split1_test_score,split2_test_score,max_depth,n_estimators
1,0.5444413559256014,0.0018365343726344464,0.7315412392377522,0.0006401490670832026,1.8705933094024658,0.15893086830503922,0.5459066564651874,0.5418515684774292,0.5455658428341877,15,90
2,0.5384223231689124,0.0010435267150110809,0.7283022056791143,0.001707204012060246,1.7837917009989421,0.18833336766013692,0.5390206579954093,0.5369548584544759,0.5392914530568521,15,60
3,0.5258231587355512,0.001136266407727208,0.7212885165089441,0.0025057713276462647,0.8670499324798584,0.196428803904034,0.5270849273144605,0.5243305279265493,0.5260540209656439,15,30
4,0.47144793191431766,0.002485061100116796,0.5528194743580411,0.002256088726085812,1.9486138820648193,0.10076808015655482,0.47299158377964806,0.46794185156847745,0.4734103603948275,10,90
5,0.46759669202459025,0.0013138589041217915,0.5495421803738726,0.0024439657635880845,0.8387080033620199,0.1260739742607385,0.4693955623565417,0.46710022953328234,0.46629428418394675,10,60
6,0.45685943610189844,0.0036537276524644907,0.5367262306173383,0.001761413979154331,0.4761182467142741,0.2006015630880816,0.46029074215761284,0.4517980107115532,0.4584895554365292,10,30
7,0.36381951609167434,0.0006061242487201301,0.36906066764737694,0.00042314071347110134,1.177189032236735,0.03427331731674726,0.36465187452180564,0.36358071920428464,0.3632259545489326,5,90
8,0.36032541383892047,0.0006501262499820238,0.3667525288240134,0.0012570290292731193,0.7480939229329427,0.025999701749102325,0.3610558530986993,0.36044376434583014,0.359476624072232,5,60
9,0.34866971255250095,0.0065734169981844495,0.3548548497698125,0.005380551679164498,0.33452939987182617,0.09773965342216319,0.3541698546289212,0.35241009946442237,0.33942918356415946,5,30
