penalty,rank,params,cv_mean_test_score,cv_std_test_score,cv_mean_train_score,cv_std_train_score,mean_fit_time,std_fit_time,split0_test_score,split1_test_score,split2_test_score
no_penalty,1,{},0.3034400298433489,0.001691984591943986,0,0,1.235807180404663,0,0.3010739785204296,0.30431391372172556,0.3049321972878915
l1_lasso,1,{'clf__C': 0.1},0.3042400258439089,0.0014890363459714726,0.31658000536326236,0.0004213948162640789,4.065798123677571,0.9435210830461241,0.3021539569208616,0.3050338993220136,0.30553222128885155
l1_lasso,2,{'clf__C': 1},0.3034400334434209,0.0018295901256302697,0.31622000536319034,0.0003841472760294693,20.230708996454876,4.309101084289668,0.3008939821203576,0.30431391372172556,0.30511220448817955
l1_lasso,3,{'clf__C': 10},0.3033600326433409,0.0017370426640810075,0.3161200058631654,0.0004153113925138905,54.917075395584106,36.61913570479479,0.3009539809203816,0.30413391732165357,0.3049921996879875
l2_ridge,1,{'clf__C': 10},0.3034200302433409,0.0017199569725694832,0.31609000556316236,0.00039356559903852236,1.476352055867513,0.10694604830855518,0.3010139797204056,0.30431391372172556,0.3049321972878915
l2_ridge,2,{'clf__C': 1},0.3034000318433569,0.0017556840902952253,0.3161200055631684,0.00039508763399211084,1.4761652946472168,0.09179694554414894,0.3009539809203816,0.30425391492170156,0.3049921996879875
l2_ridge,3,{'clf__C': 0.1},0.3032600310432289,0.0016999809295615556,0.3161200049631744,0.0003528675758670103,1.3989923000335693,0.04521712883888271,0.3008939821203576,0.30407391852162957,0.30481219248769953
elasticnet,1,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5}",0.30360001704322087,0.0014982035778326249,0.31646000446324735,0.0004312825215382737,9.887842655181885,2.992467115119678,0.3014939701205976,0.3048539029219416,0.3044521780871235
elasticnet,2,"{'clf__C': 1, 'clf__l1_ratio': 0.5}",0.30344003224339694,0.0017093510201258457,0.31615000556317435,0.00040260985124837274,42.27941036224365,8.792489894016132,0.3010739785204296,0.30419391612167757,0.30505220208808353
elasticnet,3,"{'clf__C': 10, 'clf__l1_ratio': 0.5}",0.3034000318433569,0.0017556840902952253,0.3161200058631654,0.00041458839920051663,16.58857027689616,14.118738193558954,0.3009539809203816,0.30425391492170156,0.3049921996879875
