dropout,augment,best_test_acc,best_test_acc_epoch,total_train_s,total_test_s
0.2,1,0.6602,84,1343.9743025997886,77.65433809964452
0.5,1,0.6528,82,1295.7789321999298,77.6664457001607
0.0,1,0.6514,90,1433.943635699863,82.75342849979643
