rank,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,split0_test_score,split1_test_score,split2_test_score,max_depth,n_estimators
1,0.2810800378256206,0.0014812345318295772,0.8747700058748954,0.0007098792842605866,1.871787389119466,0.08254130623867459,0.28091438171236577,0.2793544129117418,0.2829713188527541,15,90
2,0.2759400386215245,0.0019354721459916918,0.5299700000059939,0.002094334716312674,2.458014965057373,0.07782364524455944,0.2766544669106618,0.2732945341093178,0.27787111484459376,10,90
3,0.2733400114189004,0.0009698236976365707,0.518159982103811,0.0028444854903877065,1.7996688683827717,0.03044194450518047,0.2741345173096538,0.2719745605087898,0.2739109564382575,10,60
4,0.27326006341987646,0.0023595718492004886,0.8669400232731553,0.0018073073742440903,1.949387550354004,0.2248681630760811,0.2707745845083098,0.27257454850902985,0.27643105724228967,15,60
5,0.2625999862098041,0.0004930635453719521,0.48741996989778497,0.0032083067160738445,0.9401137034098307,0.009405010262769358,0.2628547429051419,0.26303473930521387,0.26191047641905674,10,30
6,0.25530005540534817,0.00196132362722683,0.8399800023679722,0.0010907152226441767,1.2916829586029053,0.08135218372402565,0.254034919301614,0.253794924101518,0.25807032281291253,15,30
7,0.2540600646045401,0.0026272639465421267,0.2739699968548254,0.00040873336877481406,1.7499295870463054,0.02399599686466235,0.25085498290034197,0.254034919301614,0.25729029161166445,5,90
8,0.2525200702034201,0.0025348056459618927,0.27148001605413546,0.001172637222317301,1.2052306334177654,0.1123452867807272,0.251394972100558,0.250134997300054,0.2560302412096484,5,60
9,0.24617999419682793,0.00037880331530547724,0.26413999515287645,0.0017605915700289758,0.642928679784139,0.04627926694275924,0.24671506569868604,0.24593508129837402,0.24588983559342373,5,30
